"","k","cv"
"1",2,34284.7804575752
"2",2,32784.2379591711
"3",2,33264.9638087227
"4",2,34476.191050849
"5",2,34901.6893537874
"6",2,34221.8043853914
"7",2,31147.1881809768
"8",2,34550.1941777071
"9",2,33495.0719277569
"10",2,32618.4349549406
"11",2,31824.8320121815
"12",2,33243.1433308798
"13",2,33270.1440969714
"14",2,34699.122591327
"15",2,35169.7296445172
"16",2,33945.7284763511
"17",2,32355.5145684223
"18",2,34489.8450761354
"19",2,35127.6501792522
"20",2,31683.5282266423
"21",2,35250.7888264616
"22",2,33494.441291458
"23",2,34233.9305113319
"24",2,33903.0990080875
"25",2,33124.6510101523
"26",2,34124.0671003096
"27",2,32806.1756530025
"28",2,33165.4388224366
"29",2,33553.6760811402
"30",2,34486.0577517065
"31",5,35280.5475132919
"32",5,33206.9480152101
"33",5,30020.4764142632
"34",5,34997.7407585357
"35",5,30997.754209963
"36",5,32124.147816582
"37",5,33733.1127212965
"38",5,33497.6366355295
"39",5,35562.1869245872
"40",5,34796.4163670574
"41",5,34917.4060246836
"42",5,31976.062072713
"43",5,34855.2376237484
"44",5,34555.1745033359
"45",5,34598.6672528067
"46",5,34414.7557395265
"47",5,34689.3487857742
"48",5,32931.2154586856
"49",5,35340.2131947526
"50",5,36205.4182086257
"51",5,35587.8257905708
"52",5,34358.1695707123
"53",5,31520.4589632826
"54",5,33583.1855918068
"55",5,33780.0159653038
"56",5,34765.5807311844
"57",5,33885.3202619383
"58",5,33700.6573530265
"59",5,33471.5966641085
"60",5,34753.6095408006
"61",10,35669.1039205678
"62",10,35680.1119100417
"63",10,34737.9705182469
"64",10,36511.7640906604
"65",10,33413.1320218792
"66",10,34060.5555704383
"67",10,35876.6023220112
"68",10,33671.755402571
"69",10,33834.9720149561
"70",10,35114.0489868337
"71",10,34404.4809596802
"72",10,34925.5533702045
"73",10,35330.8131483308
"74",10,36526.7026735595
"75",10,35954.9128078462
"76",10,34429.0922881514
"77",10,33571.2489190979
"78",10,33970.2920241451
"79",10,36133.9300640758
"80",10,34326.9708735181
"81",10,34704.4336506409
"82",10,34243.5801756895
"83",10,34488.2851107117
"84",10,35113.2258265277
"85",10,33592.1334381305
"86",10,32948.642352546
"87",10,32898.7712112429
"88",10,33685.7191908446
"89",10,33701.444870864
"90",10,36857.5614764194
